11 7 cm -f.wav,12 7 cm -1.wav,13 0 cm -f.wav,13 6 cm -f.wav,14 3 cm -1.wav,14 6 cm -f.wav,16 0 cm -1.wav,17 6 cm -1.wav,19 6 cm -1.wav
0.151625,0.075875,0.11379166666666667,0.09479166666666666,0.10229166666666667,0.08504166666666667,0.12770833333333334,0.061875,0.057041666666666664
0.28654166666666664,0.21454166666666666,0.246625,0.225125,0.18354166666666666,0.18179166666666666,0.200875,0.165375,0.121125
0.42504166666666665,0.3579583333333333,0.383875,0.36004166666666665,0.27095833333333336,0.243125,0.2899583333333333,0.318875,0.41270833333333334
0.5592083333333333,0.497875,0.5202083333333334,0.49554166666666666,0.32979166666666665,0.3132916666666667,0.36695833333333333,0.41470833333333335,0.4967916666666667
0.6964583333333333,0.639875,0.6550416666666666,0.6307916666666666,0.5557083333333334,0.41020833333333334,0.44479166666666664,0.5057916666666666,0.618875
0.8325416666666666,0.7749583333333333,0.791125,0.7665416666666667,0.6275416666666667,0.5647916666666667,0.5404583333333334,0.727375,0.674125
0.9700416666666667,0.914875,0.9280416666666667,0.903375,0.7467916666666666,0.6732083333333333,0.625375,0.8302916666666667,0.737625
1.108625,1.0572083333333333,1.065875,1.040625,0.8079583333333333,0.899375,0.7312916666666667,1.001875,0.785625
1.385375,1.1885416666666666,1.202375,1.174875,0.885125,1.058875,0.902125,1.1689583333333333,0.8464583333333333
1.5245416666666667,1.3270416666666667,1.3424583333333333,1.310875,0.9867083333333333,1.168625,1.1135416666666667,1.254125,0.9252083333333333
1.6627916666666667,1.473375,1.478375,1.4487916666666667,1.0500416666666668,1.374125,1.1915416666666667,1.354125,1.1995416666666667
1.8000416666666668,1.6200416666666666,1.6167916666666666,1.5832083333333333,1.136125,1.5357916666666667,1.3317916666666667,1.465125,1.3232916666666668
1.937625,1.7499583333333333,1.7522916666666666,1.7180416666666667,1.2357916666666666,1.646375,1.473125,1.5627916666666666,1.4392083333333334
2.076875,1.893875,1.8885416666666666,1.837875,1.296875,1.790125,1.610625,1.7125416666666666,1.6462916666666667
2.215625,2.0334583333333334,2.025708333333333,1.9640416666666667,1.4540416666666667,1.9747916666666667,1.7730416666666666,1.818625,1.726125
2.3530416666666665,2.1749583333333335,2.1655416666666665,2.0977916666666667,1.5170416666666666,2.0917083333333335,1.8209583333333332,1.8827083333333334,1.778625
2.4912083333333332,2.3157916666666667,2.302375,2.233625,1.607625,2.1855416666666665,1.8827916666666666,1.9737083333333334,1.8464583333333333
2.6300416666666666,2.4585416666666666,2.4442916666666665,2.370375,1.691375,2.280708333333333,1.960375,2.0644583333333335,2.110375
2.9049583333333335,2.606625,2.581375,2.5072083333333333,1.787625,2.4494583333333333,2.0540416666666665,2.169625,2.2479583333333335
3.043375,2.741791666666667,2.7194583333333333,2.6477083333333336,1.8739583333333334,2.626375,2.2054583333333335,2.2725416666666667,2.291541666666667
3.181875,2.8882916666666665,2.855375,2.7797916666666667,1.9702083333333333,2.723291666666667,2.281125,2.423875,2.337458333333333
3.3194583333333334,3.028125,2.994375,2.919125,2.0564583333333335,2.827125,2.3584583333333335,2.499625,2.3807916666666666
3.4572083333333334,3.1649583333333333,3.132375,3.0512916666666667,2.155708333333333,3.001708333333333,2.431958333333333,2.648375,2.430041666666667
3.5969583333333333,3.302375,3.2692916666666667,3.185625,2.318791666666667,3.095458333333333,2.518375,2.7374583333333335,2.4770416666666666
3.7339583333333333,3.447625,3.404875,3.310375,2.4120416666666666,3.1902916666666665,2.696125,2.8232916666666665,2.518625
3.873125,3.5812916666666665,3.5454583333333334,3.4507916666666665,2.4937916666666666,3.3422916666666667,2.7852916666666667,2.9294583333333333,2.5687083333333334
4.011708333333333,3.7115416666666667,3.681791666666667,3.575875,2.5889583333333333,3.4410416666666666,2.846791666666667,3.025875,2.6162083333333332
4.151458333333333,3.8577083333333335,3.8197083333333333,3.714125,2.6517916666666665,3.605625,2.9067083333333334,3.1147916666666666,2.7649583333333334
4.288458333333334,3.993375,3.9562916666666665,3.8505416666666665,2.741791666666667,3.8059583333333333,2.9890416666666666,3.202958333333333,2.809625
4.428541666666667,4.1397916666666665,4.098458333333333,3.991375,2.8064583333333335,3.876375,3.0632916666666667,3.280708333333333,2.949291666666667
4.566541666666667,4.281041666666667,4.237375,4.122375,2.824125,3.951041666666667,3.149958333333333,3.397291666666667,3.0444583333333335
4.707125,4.419375,4.3730416666666665,4.247041666666667,2.917375,4.105625,3.222875,3.475791666666667,3.092875
4.8449583333333335,4.567041666666666,4.509625,4.385458333333333,2.9812083333333335,4.358458333333333,3.3092916666666667,3.5717916666666665,3.1862083333333335
4.985708333333333,4.702958333333333,4.650625,4.509875,3.067625,4.598375,3.3884583333333333,3.671708333333333,3.229875
5.1237916666666665,4.849708333333333,4.788208333333333,4.650625,3.163291666666667,4.786125,3.4717083333333334,3.797375,3.274958333333333
5.264208333333333,4.986958333333333,4.925875,4.778625,3.2577083333333334,4.981958333333333,3.5572083333333335,3.889291666666667,3.3629583333333333
5.401625,5.126125,5.062708333333333,5.039291666666666,3.3197916666666667,5.1630416666666665,3.614375,3.961291666666667,3.538125
5.542375,5.276625,5.211375,5.1687916666666665,3.403875,5.214375,3.701791666666667,4.066291666666666,3.7112083333333334
