5 4 cm -f DENOISE.wav,5 4 cm -f.wav,5 8 cm -1.wav,6 2 cm -f DENOISE.wav,6 2 cm -f.wav,6 7 cm -f.wav,7 5 cm -1 DENOISE.wav,7 9 cm -f DENOISE.wav,8 7 cm -f DENOISE.wav,8 7 cm -f.wav,9 3 cm -1 DENOISE.wav,9 3 cm -1.wav,9 4 cm -f.wav
0.22229166666666667,0.22229166666666667,0.07204166666666667,0.3255416666666667,0.32595833333333335,0.05504166666666667,0.540125,0.053625,0.160375,0.160375,0.36554166666666665,0.36554166666666665,0.048125
0.518875,0.518875,0.30170833333333336,0.546125,0.5462083333333333,0.256125,0.9052083333333333,0.23979166666666665,0.348875,0.348875,0.7287916666666666,0.7287916666666666,0.645125
0.8200416666666667,0.8200416666666667,0.5332083333333333,0.7707083333333333,0.7709583333333333,0.454625,1.0912916666666668,0.42854166666666665,0.7152916666666667,0.7152916666666667,0.9110416666666666,0.9110416666666666,1.7119583333333332
1.1177916666666667,1.1177916666666667,0.7587083333333333,1.006375,1.0072083333333333,0.653625,1.274625,0.616875,0.888625,0.888625,1.278625,1.278625,1.8649583333333333
1.4140416666666666,1.4140416666666666,1.4462083333333333,1.4290416666666668,1.4327083333333333,0.8524583333333333,1.4594583333333333,0.803625,1.2404583333333334,1.2404583333333334,1.4662916666666668,1.4662916666666668,2.016125
1.711625,1.711625,1.674875,1.6659583333333334,1.6662083333333333,1.0515416666666666,1.6427083333333334,0.9899583333333334,1.613375,1.613375,1.655125,1.655125,2.321458333333333
2.010291666666667,2.010291666666667,1.9120416666666666,1.8827916666666666,1.8865416666666666,1.250625,2.221375,1.1797916666666666,1.7947916666666666,1.7947916666666666,2.0155416666666666,2.0155416666666666,2.472875
2.310125,2.310125,2.150125,2.1180416666666666,2.1187916666666666,1.4497916666666666,2.4172083333333334,1.3677916666666667,1.980625,1.980625,2.382041666666667,2.382041666666667,2.627125
2.6100416666666666,2.6100416666666666,2.3892083333333334,2.3344583333333335,2.3352083333333336,1.6490416666666667,3.0990416666666665,1.5549583333333334,2.165625,2.165625,2.747375,2.747375,2.7815416666666666
2.9147083333333335,2.9147083333333335,2.6262916666666665,2.562625,2.5664583333333333,1.848125,3.8022916666666666,1.7447916666666667,2.347125,2.347125,2.9342916666666667,2.9342916666666667,2.9355416666666665
3.221041666666667,3.221041666666667,2.8664583333333336,2.7764583333333333,2.7764583333333333,2.0477083333333335,3.9792083333333332,1.9337916666666666,2.524125,2.524125,3.127375,3.127375,3.0922916666666667
3.5300416666666665,3.5300416666666665,3.1065416666666668,2.991875,2.9920416666666667,2.2472916666666665,4.154708333333334,2.121625,3.0612083333333335,3.0612083333333335,3.4867916666666665,3.4867916666666665,3.243625
3.838875,3.838875,3.3444583333333333,3.227625,3.228291666666667,2.4467916666666665,4.324375,2.307375,3.5977916666666667,3.5977916666666667,3.850875,3.850875,3.3972083333333334
4.144791666666666,4.144791666666666,3.581958333333333,3.452125,3.4530416666666666,2.646708333333333,4.504958333333334,2.4974583333333333,3.951625,3.951625,4.038208333333333,4.038208333333333,3.5537916666666667
4.446791666666667,4.446791666666667,3.8210416666666664,3.6870416666666666,3.6879583333333334,2.845625,4.681291666666667,2.685375,4.136291666666667,4.136291666666667,4.224875,4.224875,3.7067083333333333
4.7527083333333335,4.752541666666667,4.060375,3.9007916666666667,3.905291666666667,3.0442916666666666,4.855125,2.872625,4.503958333333333,4.503958333333333,4.406625,4.406625,3.860875
5.057375,5.057375,4.299458333333333,4.132041666666667,4.135208333333333,3.2440416666666665,5.032291666666667,3.0632916666666667,5.047291666666666,5.047291666666666,4.601291666666667,4.601291666666667,4.016791666666666
5.3602083333333335,5.3602083333333335,4.538791666666667,4.348291666666666,4.348791666666667,3.4434583333333335,5.208625,3.2502916666666666,5.231125,5.231125,4.783291666666667,4.783291666666667,4.168708333333333
5.664791666666667,5.664791666666667,4.780541666666666,4.572791666666666,4.572875,3.643125,5.3810416666666665,3.4362083333333335,5.408291666666667,5.408291666666667,5.153291666666667,5.153291666666667,4.324625
5.969875,5.969875,5.0172083333333335,4.807708333333333,4.807875,3.8425416666666665,5.5564583333333335,3.626125,5.762791666666667,5.762791666666667,5.346791666666666,5.346791666666666,4.477375
6.274875,6.274958333333333,5.256708333333333,5.028708333333333,5.029375,4.042125,5.735708333333333,3.815958333333333,5.955541666666667,5.955541666666667,5.530375,5.530375,4.632375
6.580958333333333,6.580958333333333,5.495958333333333,5.267791666666667,5.267791666666667,4.241708333333333,5.908791666666667,4.002208333333333,6.132875,6.132875,5.714875,5.714875,4.783375
6.886708333333333,6.886708333333333,5.737958333333333,5.485875,5.485875,4.440875,6.085125,4.193041666666667,6.4852083333333335,6.4852083333333335,5.905875,5.905875,4.939208333333333
7.192458333333334,7.192458333333334,5.977541666666666,5.719875,5.720541666666667,4.640125,6.261041666666666,4.378708333333333,6.6767916666666665,6.6767916666666665,6.091458333333334,6.091458333333334,5.092125
7.498458333333334,7.498458333333334,6.214458333333333,5.956041666666667,5.956458333333333,4.839291666666667,6.4370416666666666,4.5637083333333335,6.858708333333333,6.858708333333333,6.280375,6.280375,5.246791666666667
7.806041666666666,7.806041666666666,6.453875,6.176291666666667,6.178708333333334,5.038541666666666,6.614041666666667,4.753125,7.228541666666667,7.228541666666667,6.468875,6.468875,5.396875
8.111458333333333,8.111458333333333,6.694958333333333,6.411708333333333,6.414958333333334,5.237958333333333,6.790041666666666,4.943708333333333,7.588625,7.588625,6.654208333333333,6.654208333333333,5.550958333333333
8.421875,8.421875,6.932958333333334,6.633041666666666,6.6342083333333335,5.437125,6.965458333333333,5.131875,7.765041666666667,7.765041666666667,6.843125,6.843125,5.706708333333333
8.725125,8.725125,7.174041666666667,6.8617083333333335,6.863708333333333,5.636541666666667,7.142875,5.318791666666667,8.303125,8.303125,7.027458333333334,7.027458333333334,5.860541666666666
9.033791666666668,9.033791666666668,7.412458333333333,7.080041666666666,7.081041666666667,5.835791666666666,7.322625,5.5092083333333335,8.497375,8.497375,7.219125,7.219125,6.014625
9.339958333333334,9.339958333333334,7.653125,7.306958333333333,7.310375,6.034958333333333,7.498375,5.696208333333334,8.858625,8.858625,7.400625,7.400625,6.163208333333333
9.647708333333334,9.647708333333334,7.892625,7.538208333333333,7.538625,6.234125,7.671541666666666,5.8810416666666665,9.218625,9.218625,7.585875,7.585875,6.314708333333333
9.956291666666667,9.956291666666667,8.131375,7.7720416666666665,7.772625,6.433541666666667,7.848041666666667,6.069875,9.398458333333334,9.398458333333334,7.780375,7.780375,6.469625
